weight,density,degree,runtime,stretch
1275.0,0.1,4,0.014494,2.75925925926
1868.0,0.1,5,0.014664,3.27697841727
1535.0,0.1,5,0.015124,3.8156424581
693.0,0.1,5,0.015089,3.3275862069
1221.0,0.1,5,0.015332,2.76510067114
1005.0,0.1,4,0.014916,3.01342281879
1272.0,0.1,3,0.014459,2.84615384615
813.0,0.1,5,0.016202,2.89887640449
978.0,0.1,4,0.01507,3.82407407407
1955.0,0.1,5,0.014285,4.0
1193.0,0.1,5,0.014926,2.80769230769
1332.0,0.1,4,0.016173,3.13333333333
949.0,0.1,3,0.015598,2.92356687898
759.0,0.1,5,0.015027,3.98947368421
878.0,0.1,3,0.015662,2.55670103093
1468.0,0.1,4,0.014585,4.1048951049
1207.0,0.1,4,0.014472,2.86
1089.0,0.1,4,0.015021,2.96629213483
1312.0,0.1,4,0.014793,3.73291925466
921.0,0.1,5,0.014847,3.26470588235
1511.0,0.1,4,0.015437,3.31764705882
990.0,0.1,4,0.015074,2.55696202532
1721.0,0.105263157895,3,0.015089,3.79894179894
893.0,0.1,4,0.015085,2.44210526316
1907.0,0.1,4,0.014302,2.46907216495
964.0,0.1,4,0.015182,3.65957446809
1212.0,0.105263157895,4,0.014935,4.82857142857
1066.0,0.1,4,0.014777,3.59036144578
1414.0,0.1,5,0.015087,3.26315789474
696.0,0.1,5,0.01505,3.82178217822
1174.0,0.1,4,0.0152399999999,3.37912087912
1448.0,0.1,3,0.014834,3.21518987342
802.0,0.1,4,0.014932,3.73255813953
1667.0,0.1,4,0.015624,2.80478087649
668.0,0.1,3,0.015498,2.75609756098
1491.0,0.1,3,0.014616,2.68
943.0,0.1,3,0.014549,3.3152173913
1211.0,0.1,4,0.015114,4.04761904762
1421.0,0.1,6,0.01445,3.64055299539
1350.0,0.1,6,0.014843,3.35114503817
1022.0,0.1,6,0.014809,2.79104477612
1006.0,0.1,4,0.014997,4.00909090909
1027.0,0.1,5,0.014735,2.51533742331
1385.0,0.1,4,0.013481,1.75187969925
1068.0,0.1,4,0.014616,4.11278195489
1515.0,0.1,4,0.01546,3.03658536585
1294.0,0.1,5,0.014412,4.25
1781.0,0.1,8,0.016108,3.02142857143
1787.0,0.1,4,0.015325,3.11184210526
1225.0,0.1,4,0.01503,3.16935483871
1336.0,0.1,4,0.015078,4.49579831933
817.0,0.1,4,0.015001,1.81278538813
1218.0,0.1,5,0.015314,4.89156626506
825.0,0.1,4,0.01547,3.41304347826
1502.0,0.1,5,0.01529,3.3
1048.0,0.1,4,0.01458,2.08333333333
1152.0,0.1,3,0.014414,3.40816326531
954.0,0.1,3,0.015425,4.01769911504
1385.0,0.1,4,0.014629,3.46987951807
1143.0,0.1,4,0.015174,3.42307692308
1048.0,0.1,4,0.014364,2.56502242152
1246.0,0.1,5,0.01568,2.45637583893
1195.0,0.1,4,0.015034,2.63829787234
1245.0,0.1,7,0.014606,2.58192090395
1338.0,0.1,4,0.014362,2.90751445087
715.0,0.1,5,0.015301,2.20606060606
1432.0,0.1,4,0.014891,2.80952380952
1556.0,0.105263157895,5,0.014843,3.4224137931
1100.0,0.1,4,0.014733,3.98095238095
1291.0,0.1,5,0.015067,2.84684684685
1238.0,0.1,4,0.014239,3.4
1656.0,0.1,4,0.015209,3.73958333333
815.0,0.1,4,0.014897,2.51515151515
1267.0,0.1,5,0.014415,2.48684210526
1157.0,0.1,4,0.014532,2.78512396694
1901.0,0.1,4,0.014178,2.93181818182
1033.0,0.105263157895,4,0.015121,4.66279069767
1075.0,0.1,4,0.014125,3.16666666667
1168.0,0.1,4,0.014315,2.99315068493
1299.0,0.1,4,0.014792,3.47692307692
1565.0,0.1,6,0.014965,2.63768115942
1442.0,0.1,3,0.014419,3.9347826087
1196.0,0.1,4,0.014766,2.44736842105
1348.0,0.1,5,0.013726,3.47899159664
1017.0,0.1,4,0.014386,2.96103896104
1434.0,0.1,5,0.015029,2.35864978903
1329.0,0.1,4,0.014273,3.31914893617
1570.0,0.1,5,0.014703,3.05306122449
1034.0,0.1,4,0.014985,2.33333333333
1046.0,0.1,4,0.014159,2.45689655172
923.0,0.1,3,0.014757,2.32727272727
1155.0,0.1,4,0.014826,2.66153846154
1413.0,0.1,4,0.014607,3.6568627451
1890.0,0.1,4,0.014785,3.14285714286
1141.0,0.1,5,0.014521,3.33009708738
1077.0,0.1,5,0.014623,3.76724137931
1313.0,0.1,4,0.014901,2.01136363636
1333.0,0.1,4,0.014695,3.65591397849
1540.0,0.1,4,0.01436,2.88770053476
1137.0,0.1,4,0.0139160000001,4.28925619835
1794.0,0.1,5,0.014392,4.08602150538
1114.0,0.1,5,0.015337,2.33684210526
1523.0,0.1,4,0.015345,3.04026845638
1015.0,0.1,6,0.014745,2.64285714286
1305.0,0.1,4,0.015371,2.89873417722
1565.0,0.1,3,0.014842,3.75087719298
1316.0,0.1,4,0.014562,3.07236842105
1029.0,0.1,4,0.014416,3.27927927928
1563.0,0.1,5,0.014314,2.24170616114
1845.0,0.1,5,0.014485,2.73684210526
1290.0,0.1,6,0.014475,2.34972677596
1406.0,0.1,5,0.015116,2.4025974026
1150.0,0.1,4,0.014696,2.78947368421
1314.0,0.1,4,0.014328,2.81699346405
1129.0,0.1,6,0.014499,3.25454545455
1091.0,0.1,5,0.01539,3.14285714286
1348.0,0.1,4,0.013772,2.92361111111
1933.0,0.1,5,0.015751,3.81045751634
1411.0,0.1,4,0.014664,3.34831460674
1156.0,0.1,5,0.014609,2.97435897436
1340.0,0.1,3,0.014683,4.31967213115
1311.0,0.1,4,0.014571,3.00787401575
1215.0,0.1,6,0.014267,3.9262295082
